Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.590711995871335566e-02 0.444583758252122023e-02
1.900000000000000000e+04 1.990711995871335566e-02 0.654583758252122023e-02
2.300000000000000000e+04 2.490711995871335566e-02 0.874583758252122023e-02
2.600000000000000000e+04 2.890205421058660495e-02 1.153945388093863211e-02
3.900000000000000000e+04 3.340300708660164486e-02 1.457502967936044291e-02
5.200000000000000000e+04 3.558480086855809715e-02 1.647141703022676609e-02
6.500000000000000000e+04 3.702246840172278675e-02 1.857523629396066736e-02
7.800000000000000000e+04 4.195936109440599693e-02 2.049966517570983857e-02
9.100000000000000000e+04 4.782047148076458615e-02 2.203078994013187811e-02
1.040000000000000000e+05 5.594215935130920914e-02 2.469419810688386172e-02
1.170000000000000000e+05 5.791417833550264321e-02 2.559331851928798882e-02
1.300000000000000000e+05 5.608679867065929914e-02 2.669219953048112470e-02
1.430000000000000000e+05 5.803482422541455382e-02 2.683865423635489111e-02
1.560000000000000000e+05 6.200697854080631621e-02 2.716595636073608835e-02
1.680000000000000000e+05 6.570128934208904758e-02 2.825648211504619262e-02
1.810000000000000000e+05 6.862954862100473730e-02 2.910815254766580154e-02
1.940000000000000000e+05 6.975968156307460710e-02 3.068498762471789229e-02
2.070000000000000000e+05 7.254214280061258928e-02 3.134547986975980086e-02
2.200000000000000000e+05 7.408255110587665082e-02 3.206005292849776016e-02
2.330000000000000000e+05 7.591931656348587448e-02 3.241135858684134103e-02
2.460000000000000000e+05 7.666973401034688423e-02 3.298188867012235487e-02

