Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.780711995871335566e-02 0.674583758252122023e-02
1.900000000000000000e+04 2.290711995871335566e-02 0.864583758252122023e-02
2.300000000000000000e+04 2.920711995871335566e-02 1.094583758252122023e-02
2.600000000000000000e+04 3.990205421058660495e-02 2.653945388093863211e-02
3.900000000000000000e+04 4.340300708660164486e-02 2.657502967936044291e-02
5.200000000000000000e+04 5.740584848797620543e-02 2.667427490841705814e-02
6.500000000000000000e+04 6.269546698823127040e-02 2.689733928138646549e-02
7.800000000000000000e+04 6.845297003071984787e-02 2.724338024731164445e-02
9.000000000000000000e+04 7.298490532193882641e-02 2.707000717355774119e-02
1.030000000000000000e+05 7.528945192337992143e-02 2.683425804942577222e-02
1.160000000000000000e+05 8.184136996000232478e-02 2.716343963554100627e-02
1.290000000000000000e+05 8.539005864950804758e-02 2.666766971086794238e-02
1.420000000000000000e+05 8.934880137412676104e-02 2.682563660215946458e-02
1.550000000000000000e+05 9.726286434214623244e-02 2.982844934664093117e-02
1.670000000000000000e+05 1.046204302264146513e-01 3.365664866439538327e-02
1.800000000000000000e+05 1.132636638700666026e-01 4.574812150763087754e-02
1.930000000000000000e+05 1.209974139889469225e-01 4.705360165225173225e-02
2.060000000000000000e+05 1.237418151438267055e-01 4.710666127524724273e-02
2.190000000000000000e+05 1.327709237348483617e-01 4.741503367514138256e-02
2.320000000000000000e+05 1.346148402547968359e-01 4.948434074211450345e-02
2.450000000000000000e+05 1.393974935138286297e-01 4.206181089632129305e-02
