Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.880711995871335566e-02 0.774583758252122023e-02
1.900000000000000000e+04 2.390711995871335566e-02 0.994583758252122023e-02
2.300000000000000000e+04 3.120711995871335566e-02 1.494583758252122023e-02
2.600000000000000000e+04 4.290205421058660495e-02 1.853945388093863211e-02
3.900000000000000000e+04 5.340300708660164486e-02 2.457502967936044291e-02
5.200000000000000000e+04 7.366078860032755637e-02 2.883643142312987229e-02
6.500000000000000000e+04 9.108238262171838734e-02 3.124800224061269737e-02
7.800000000000000000e+04 1.138365150626707933e-01 3.595705652475769312e-02
9.000000000000000000e+04 1.240848268564234314e-01 3.634541926962191710e-02
1.030000000000000000e+05 1.376412651342338211e-01 3.821343439642074855e-02
1.160000000000000000e+05 1.502769361986019303e-01 3.912966492643747345e-02
1.290000000000000000e+05 1.68436396139241951e-01 3.982760071084580936e-02
1.420000000000000000e+05 1.739906941435218612e-01 4.048295096287801595e-02
1.550000000000000000e+05 1.817989230636197466e-01 4.198599768614143737e-02
1.670000000000000000e+05 1.919348565225571501e-01 4.286967256553707797e-02
1.800000000000000000e+05 2.021079863383128383e-01 4.308586226788193252e-02
1.930000000000000000e+05 2.126648959275166106e-01 4.260836505706009070e-02
2.060000000000000000e+05 2.298828194033784755e-01 4.384770292846555882e-02
2.190000000000000000e+05 2.359082717703830001e-01 4.424004135079590255e-02
2.320000000000000000e+05 2.472411593943128612e-01 4.503055288108159110e-02
2.450000000000000000e+05 2.494734368751413589e-01 4.588065932229399607e-02
