Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000000e+04 1.890711995871335566e-02 2.674583758252122023e-02
2.600000000000000000e+04 2.990205421058660495e-02 2.653945388093863211e-02
3.900000000000000000e+04 4.340300708660164486e-02 2.657502967936044291e-02
5.200000000000000000e+04 5.697215580463312945e-02 2.651070107672889864e-02
6.500000000000000000e+04 6.950690411583852757e-02 2.662127351300931644e-02
7.800000000000000000e+04 7.627306686521707901e-02 2.690203990399396908e-02
9.000000000000000000e+04 8.961406778920523453e-02 3.358833382917913307e-02
1.030000000000000000e+05 1.059966253983492951e-01 4.997966583936020585e-02
1.160000000000000000e+05 1.227919083179924570e-01 5.822677083729812381e-02
1.290000000000000000e+05 1.391944034785708717e-01 7.177393012632825309e-02
1.420000000000000000e+05 1.448604159097710564e-01 7.588508520562529946e-02
1.550000000000000000e+05 1.477135717555673744e-01 7.559501502581611465e-02
1.670000000000000000e+05 1.480914839024007612e-01 6.822132614322229394e-02
1.800000000000000000e+05 1.581726767325797312e-01 4.873263253144462931e-02
1.930000000000000000e+05 1.692219731676860850e-01 5.183603589384924021e-02
2.060000000000000000e+05 1.781994398734152441e-01 5.347686592992753618e-02
2.190000000000000000e+05 1.928293487729679234e-01 6.020214237159668413e-02
2.320000000000000000e+05 2.008259348123764554e-01 6.862064018799081400e-02
2.450000000000000000e+05 2.043086283487798860e-01 4.801895503908692325e-02
