Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.620711995871335566e-02 0.474583758252122023e-02
1.900000000000000000e+04 2.090711995871335566e-02 0.764583758252122023e-02
2.300000000000000000e+04 2.520711995871335566e-02 0.994583758252122023e-02
2.600000000000000000e+04 2.990205421058660495e-02 1.153945388093863211e-02
3.900000000000000000e+04 3.340300708660164486e-02 1.357502967936044291e-02
5.200000000000000000e+04 3.719541885339728393e-02 1.661826597046189694e-02
6.500000000000000000e+04 4.107339603190710398e-02 1.973942888059656006e-02
7.800000000000000000e+04 4.293465101003749285e-02 2.359366997366507598e-02
9.000000000000000000e+04 4.819189652102858484e-02 2.484876913749658159e-02
1.030000000000000000e+05 5.836293573634741133e-02 2.589152276125195078e-02
1.160000000000000000e+05 5.842368535152506737e-02 2.608310894828184787e-02
1.290000000000000000e+05 5.983936506456402258e-02 2.667906312943538655e-02
1.420000000000000000e+05 6.365457072315097720e-02 2.798512436221841027e-02
1.550000000000000000e+05 6.644079758505498645e-02 2.818006325971975995e-02
1.670000000000000000e+05 7.081819835815480524e-02 3.009842559268264445e-02
1.800000000000000000e+05 7.381682260736640633e-02 3.171722854488637861e-02
1.930000000000000000e+05 7.550657325750014148e-02 3.246261604279775664e-02
2.060000000000000000e+05 7.684678195437848780e-02 3.301636489653889578e-02
2.190000000000000000e+05 7.640837156604899405e-02 3.599399683130481892e-02
2.320000000000000000e+05 7.757784683781634461e-02 3.619494267843816706e-02
2.450000000000000000e+05 7.976837585821895227e-02 3.637726191837288070e-02
