Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+04 1.780711995871335566e-02 0.674583758252122023e-02
1.900000000000000000e+04 2.290711995871335566e-02 0.964583758252122023e-02
2.300000000000000000e+04 3.020711995871335566e-02 1.394583758252122023e-02
2.600000000000000000e+04 3.890205421058660495e-02 1.653945388093863211e-02
3.900000000000000000e+04 4.540300708660164486e-02 1.957502967936044291e-02
5.200000000000000000e+04 6.642461579132447413e-02 2.583554309357505385e-02
6.500000000000000000e+04 7.254735644689198404e-02 2.854684365704861868e-02
7.800000000000000000e+04 8.903395971185159630e-02 2.942209956844239943e-02
9.000000000000000000e+04 1.089347429885386964e-01 3.058829655208608850e-02
1.030000000000000000e+05 1.269770961279860222e-01 3.189934584943689089e-02
1.160000000000000000e+05 1.425828340228150748e-01 3.264280819811205542e-02
1.290000000000000000e+05 1.480879918564066233e-01 3.274874738698256427e-02
1.420000000000000000e+05 1.516967822642214425e-01 3.350394011568304009e-02
1.550000000000000000e+05 1.610538661689608253e-01 3.494710010345828216e-02
1.670000000000000000e+05 1.666197133092486837e-01 3.557646576859914540e-02
1.800000000000000000e+05 1.742058713214796595e-01 3.790880772272665311e-02
1.930000000000000000e+05 1.811866508080361138e-01 3.889730370399042281e-02
2.060000000000000000e+05 1.902919856140304611e-01 3.952013247032775450e-02
2.190000000000000000e+05 2.027773198444367997e-01 4.128413010142834957e-02
2.320000000000000000e+05 2.142306618618338887e-01 4.208012596714459402e-02
2.450000000000000000e+05 2.229760998107787784e-01 4.299437467322178841e-02
