Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+04 2.890269365323233142e-02 0.774045689130130285e-02
2.700000000000000000e+04 5.949675279779384984e-02 0.995617633214907864e-02
4.000000000000000000e+04 7.012865122177322286e-02 1.356162016987098987e-02
5.300000000000000000e+04 9.239363916697897694e-02 1.867261574742037580e-02
6.600000000000000000e+04 1.127876849111700602e-01 2.205019845776329701e-02
7.900000000000000000e+04 1.388713184833118752e-01 2.453318598237626882e-02
9.200000000000000000e+04 1.577005361791432492e-01 2.798161367658772317e-02
1.050000000000000000e+05 1.777401911780042887e-01 2.940370990561118594e-02
1.180000000000000000e+05 1.816142429026908756e-01 3.186994295844247560e-02
1.320000000000000000e+05 1.993126166264333754e-01 3.266735515431944320e-02
1.450000000000000000e+05 2.089133603609406586e-01 3.343663300364589924e-02
1.580000000000000000e+05 2.112124673401011932e-01 3.459946396877654579e-02
1.710000000000000000e+05 2.156547161315244632e-01 3.579587981685989773e-02
1.840000000000000000e+05 2.200760594058574895e-01 3.783603180716724990e-02
1.970000000000000000e+05 2.27114019608599487516e-01 3.910370452859322793e-02
2.100000000000000000e+05 2.357628237356474590e-01 4.113487843562704643e-02
2.230000000000000000e+05 2.410799407992663821e-01 4.211414128304931143e-02
2.360000000000000000e+05 2.424280137945883022e-01 4.328743231872624243e-02
2.500000000000000000e+05 2.432344794995947783e-01 4.415250885997483060e-02
