Time(ps) MSD_Cu(A^2) MSD_Mo(A^2)
1.000000000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00
1.400000000000000000e+04 2.990269365323233142e-02 0.674045689130130285e-02
2.700000000000000000e+04 6.349675279779384984e-02 0.975617633214907864e-02
4.000000000000000000e+04 9.912865122177322286e-02 1.656162016987098987e-02
5.300000000000000000e+04 1.165342770500079805e-01 1.998197497685160887e-02
6.600000000000000000e+04 1.379140158036337033e-01 2.308402788787170681e-02
7.900000000000000000e+04 1.555399963382794559e-01 2.576355538143535173e-02
9.200000000000000000e+04 1.767987903695318430e-01 2.809396816319129803e-02
1.050000000000000000e+05 1.813149275540403749e-01 2.962602481156774897e-02
1.180000000000000000e+05 1.952182502345190189e-01 3.102512390787183350e-02
1.320000000000000000e+05 2.083074381142937732e-01 3.388772608968630462e-02
1.450000000000000000e+05 2.134250560760872182e-01 3.539789000036892519e-02
1.580000000000000000e+05 2.200189517848640530e-01 3.748265092346331917e-02
1.710000000000000000e+05 2.358344241523217757e-01 3.890587545319047785e-02
1.840000000000000000e+05 2.417866155333982499e-01 3.926281365537388002e-02
1.970000000000000000e+05 2.437381249919215784e-01 4.097508841403885693e-02
2.100000000000000000e+05 2.457647117396205649e-01 4.183533106777901939e-02
2.230000000000000000e+05 2.499291874203500949e-01 4.294164315443905000e-02
2.360000000000000000e+05 2.511943821056287898e-01 4.392505648353122156e-02
2.500000000000000000e+05 2.541693208961450412e-01 4.518168527024359873e-02
